Zipcode,Cases
76574,0
78605,0
78610,74
78612,24
78613,77
78615,13
78616,4
78617,1011
78620,7
78621,204
78626,1
78628,1
78634,6
78640,10
78641,73
78642,0
78644,3
78645,112
78652,114
78653,895
78654,3
78660,2239
78663,0
78664,70
78665,7
78669,87
78681,32
78701,280
78702,692
78703,317
78704,971
78705,728
78712,10
78717,83
78719,72
78721,360
78722,178
78723,815
78724,1231
78725,526
78726,161
78727,361
78728,457
78729,147
78730,63
78731,289
78732,144
78733,97
78734,295
78735,313
78736,138
78737,91
78738,236
78739,139
78741,1860
78742,42
78744,2184
78745,1249
78746,379
78747,672
78748,1065
78749,414
78750,277
78751,200
78752,666
78753,1986
78754,789
78756,96
78757,353
78758,1640
78759,502
