Zipcode,White,Black or African American,Asian alone,Hispanic or Latino,"Car, truck, or van",Public transportation (excluding taxicab),Worked at home,Regular high school diploma,Bachelor's degree,Doctorate degree,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Total With Health Insurance,Total Without Health Insurance
76574,8911,1679,115,7736,8481,38,298,4402,1401,76,51613,16586,1982
78605,4765,39,37,1155,2424,0,78,1230,491,0,62650,5215,828
78610,17758,1363,434,14760,16779,40,1134,4447,6014,358,79318,31060,3940
78612,6011,927,72,6672,4871,0,283,1618,1272,261,70795,11797,2055
78613,52378,2238,7192,14991,35393,536,4200,6302,17266,543,101832,73072,6435
78615,848,15,0,362,437,0,34,259,73,0,47500,1078,151
78616,2795,317,0,4896,3298,0,127,1249,342,9,53220,5979,2306
78617,3758,1955,461,21761,11912,67,233,4527,1360,24,54940,20087,6175
78620,13631,42,332,2605,6657,14,1098,1716,3875,180,101236,15245,1575
78621,10108,3209,153,9584,9372,0,583,3586,1931,122,62862,19855,3524
78626,19584,1888,434,11178,14851,0,1081,4991,4202,100,66823,28559,4081
78628,24783,850,261,6032,13009,54,1448,3937,6073,407,88564,30234,2617
78634,16519,3930,452,9116,14525,13,1134,4585,4005,65,76468,27952,2957
78640,22190,2119,516,30821,25196,16,1444,6674,6172,209,72474,47234,8891
78641,42396,2922,2017,15525,29193,402,2872,6415,11041,519,94685,58723,6809
78642,9920,139,25,1349,5099,44,433,1591,1713,27,97316,10423,1273
78644,7809,996,385,8923,7265,0,317,4251,1358,19,57135,13802,2841
78645,9260,212,73,1475,4420,9,710,1602,2233,88,76396,9973,1281
78652,3412,227,50,1797,2807,32,130,1083,1254,102,82328,4905,508
78653,5731,5683,483,10008,9835,95,591,3145,2398,147,69107,19289,3494
78654,12249,480,125,5465,7053,0,412,3299,2496,174,56992,15709,2718
78660,37517,11470,8755,30121,44238,269,3105,10475,15392,488,83499,79614,9900
78663,725,0,0,82,336,0,123,97,45,0,78194,683,163
78664,29282,6858,3271,20760,31072,173,1537,7440,9289,291,72467,54547,7346
78665,24020,5381,3633,13750,22687,196,1826,4395,8804,401,96049,44763,3514
78669,10595,65,377,917,4109,13,1228,1199,3037,137,109963,11141,965
78681,33557,3220,5416,13086,24662,332,2734,3813,12355,499,103681,52900,3860
78701,6824,396,616,1425,4214,179,1132,393,3891,345,107190,8620,639
78702,9129,3440,469,9834,9607,689,1046,2622,4926,299,59705,19648,3546
78703,16950,239,1889,1528,9479,750,1735,333,6581,773,105207,20241,636
78704,31690,1695,1573,12323,23665,1411,4376,2714,16148,1334,70511,41719,6462
78705,19263,2283,5192,6009,7082,709,915,414,3004,469,19188,28970,4737
78712,457,132,18,209,124,9,0,0,9,0,,706,154
78717,14690,1230,8374,4382,12931,224,1868,1611,7199,514,110085,28577,1503
78719,207,60,4,1507,809,0,16,321,61,14,58917,1324,491
78721,2981,3078,224,5999,5296,322,375,1888,1877,47,44076,9692,2755
78722,4825,840,150,917,3631,228,476,519,2434,158,71340,6131,765
78723,13361,6536,854,13070,15850,1106,997,3980,6075,545,54707,27299,7060
78724,2630,5506,29,16149,9572,284,206,3271,1264,104,45887,17005,6836
78725,1541,1423,102,4600,4378,45,103,1401,593,75,65345,6801,1085
78726,8291,591,2360,1907,6923,33,651,708,4155,213,77935,13199,668
78727,15355,1914,5659,5439,15180,327,1526,2103,8420,468,78542,27800,1709
78728,8887,3323,1981,6698,10861,192,1102,3540,4861,194,55099,18323,3143
78729,17979,1656,2727,6079,16075,288,1148,2684,7269,337,76832,25935,3377
78730,6766,103,587,1303,3741,0,1051,353,2920,237,112333,8997,157
78731,20907,457,2268,2834,11404,663,2017,903,7963,1193,94048,26087,1071
78732,12355,273,2075,2778,5941,13,1988,517,4903,254,156599,17312,489
78733,6389,20,1240,690,3227,8,722,211,2183,342,154543,8100,511
78734,14634,413,444,2564,7378,20,1565,1384,5306,407,115458,17380,1289
78735,12023,427,1321,3824,7880,26,1044,1314,4914,451,97636,16275,1404
78736,7032,30,270,1428,4023,39,575,841,2523,69,109012,8145,798
78737,12221,416,564,2421,6231,2,1444,1110,4283,296,132245,15323,804
78738,12293,216,1190,1623,5651,0,1465,885,5142,275,130699,15288,282
78739,14171,623,2144,2908,7572,0,1750,953,5607,565,150000,19881,431
78741,15363,6273,2148,27707,24904,3367,1428,5360,7551,356,41852,39481,13190
78742,198,68,0,552,376,6,8,72,29,0,38958,594,234
78744,7597,3548,565,36874,22074,927,793,7034,4466,74,49633,36514,12455
78745,31331,3001,1655,25507,33244,1835,2347,6991,12986,676,62265,51768,10948
78746,21729,234,2096,3894,11396,102,2109,663,8997,917,139951,27778,607
78747,6086,1089,628,12006,9643,45,578,2751,2991,149,81184,17531,2561
78748,25409,3122,2427,18458,26780,807,1785,5764,11253,233,77700,45039,5796
78749,23636,1623,4041,7319,19339,148,2107,2363,11117,858,98953,34575,3095
78750,18734,1232,4702,4669,14178,156,1309,2560,7513,738,91585,28667,2068
78751,11154,489,969,2716,7181,1548,1059,873,4954,753,59926,14502,1241
78752,6533,1907,454,11898,10544,562,550,2748,3749,125,45644,16701,4610
78753,11565,6835,3682,35731,28521,894,1153,9777,5943,247,49065,42761,16125
78754,6451,4059,3336,9872,11800,108,803,2697,4016,318,67224,20603,3805
78756,6284,169,414,1185,4338,394,724,623,2978,387,82705,7827,420
78757,17089,266,830,6043,11558,689,1497,2108,6453,655,70489,22215,2470
78758,17571,3618,2903,22404,24448,759,1710,6776,8582,922,53547,36504,10660
78759,29614,1527,4722,5584,20759,430,3084,2579,12516,1684,81066,40157,2091
